transition,phase3b_observations,phase3c_observations,observations_difference,phase3b_m_cap,phase3c_m_cap,m_cap_difference,phase3b_epsilon_sat,phase3c_epsilon_sat,epsilon_sat_difference,phase3b_saturation_ratio,phase3c_saturation_ratio,saturation_ratio_difference,phase3b_empirical_saturation,phase3c_empirical_saturation,phase3b_predicted_saturated,phase3c_predicted_saturated,phase3b_observed_saturated,phase3c_observed_saturated,phase3b_total_saturated,phase3c_total_saturated,classification_changed
Record Goods Receipt -> Vendor creates invoice,39396,39606,210,0.0002792161640775,0.0008332070898348735,0.0005539909257573734,82.37392628693277,79.09334949250133,-3.2805767944314397,0.4024592659972054,0.41915218060008885,0.01669291460288347,False,False,False,False,False,False,False,False,False
Record Invoice Receipt -> Cancel Invoice Receipt,727,1231,504,0.0041265474552957,0.20308692120227456,0.19896037374697886,29.52462173314998,0.0,-29.52462173314998,18.213455349297966,,,False,True,True,True,True,True,True,True,False
Record Invoice Receipt -> Change Price,1066,1163,97,0.0121951219512195,0.034393809114359415,0.022198687163139913,32.28292682926836,4.619432502149633,-27.66349432711873,6.798506560869098,47.51139663815976,40.71289007729066,False,False,True,True,True,True,True,True,False
Record Invoice Receipt -> Clear Invoice,48157,66874,18717,0.0849928359324708,0.14373299039985646,0.05874015446738566,0.0,0.0,0.0,,,,True,True,True,True,True,True,True,True,False
Record Invoice Receipt -> Record Goods Receipt,9918,10037,119,0.0003024803387779,0.0005977881837202351,0.00029530784494233514,89.80229885057484,87.44134701604078,-2.360951834534063,0.2532010869890707,0.26003761903292405,0.006836532043853372,False,False,False,False,False,False,False,False,False
Record Invoice Receipt -> Record Invoice Receipt,2132,2196,64,0.0009380863039399,0.006830601092896175,0.005892514788956275,67.40037523452168,50.08306010928965,-17.317315125232028,0.9657005157215526,1.299612623145821,0.33391210742426836,False,False,False,True,True,True,False,True,True
Record Invoice Receipt -> Remove Payment Block,12080,13764,1684,0.0100165562913907,0.04322871258355129,0.033212156292160594,24.58807947019871,0.7323452484742915,-23.85573422172442,20.526996141640616,689.1823405239717,668.655344382331,False,False,True,True,True,True,True,True,False
Record Invoice Receipt -> Vendor creates invoice,1734,1756,22,0.0011534025374855,0.0011389521640091116,-1.445037347638854e-05,67.51972318339111,61.77949886104795,-5.74022432234316,1.2452739629185454,1.3609782341040892,0.11570427118554383,False,False,True,True,True,True,True,True,False
Record Service Entry Sheet -> Record Goods Receipt,8958,8961,3,0.0,0.00011159468809284678,0.00011159468809284678,105.5914266577362,105.31904921325756,-0.27237744447865,0.031213192097596,0.0312939160460277,8.072394843169906e-05,False,False,False,False,False,False,False,False,False
Record Service Entry Sheet -> Record Invoice Receipt,653,715,62,0.003062787136294,0.057342657342657345,0.054279870206363344,61.571209800918886,0.0,-61.571209800918886,2.20199887542226,,,False,True,True,True,True,True,True,True,False
Record Service Entry Sheet -> Record Service Entry Sheet,75911,75913,2,0.0,1.317297432587304e-05,1.317297432587304e-05,107.9832435351926,107.95352574657838,-0.029717788614220808,0.0005306082586935,0.0005307543262162509,1.460675227508675e-07,False,False,False,False,False,False,False,False,False
